parcel_uuid,project_id,project_type,state,district,village,survey_number,sub_division_number,official_owner,official_area,land_classification,record_status,land_area_sqm,location_type,latitude,longitude,base_market_value,multiplier,asset_value,solatium_100_percent,total_compensation,number_of_parcels,number_of_owners,affected_families,proposal_days,verification_days,approval_days,notification_days,award_days,compensation_days,possession_days,rr_days,missing_documents,verification_rejections,approval_resubmissions,land_record_issues,boundary_disputes,ownership_disputes,legal_cases,compensation_percentage,possession_percentage,rr_percentage,previous_delays,current_pending_tasks,target_completion_days,actual_completion_days,delay_days,delayed,survey_officer_name,landowner_name,project_issue_date,project_deadline_date
UP-LKO-2026-10000,P001,Transmission,Tamil Nadu,Coonor,Hubbathala,205/1,1,Vikram Verma,2.34 acres,Multi-crop,Disputed,9469.65,RURAL,26.8467,80.9462,29744170.65,2.56,200000,76345076.86,152690153.7,3,7,3,12,36,12,74,87,65,44,80,5,0,0,4,3,0,2,100,100,50,2,5,280,660,380,1,Deepa Joshi,Vikram Verma,26-04-2025,31-01-2026
UP-LKO-2026-10001,P008,Transmission,Uttar Pradesh,Lucknow,Malhaur,19/A,A,Anjali Kumar,1.5 acres,Commercial,Pending Review,6070.29,URBAN,26.8469,80.9472,18053042.46,1.22,50000,22074711.8,44149423.6,4,8,15,17,25,24,54,98,98,43,108,0,1,2,2,0,2,0,100,0,50,2,10,212,449,237,1,Anil Yadav,Anjali Kumar,08-10-2025,08-05-2026
UP-LKO-2026-10002,P006,Highway,Maharashtra,Nashik,Ozar,65/2A,2A,Anjali Kumar,0.73 acres,Agricultural,Pending Review,2954.21,RURAL,26.8471,80.9482,9666175.12,3.44,200000,33451642.41,66903284.83,9,10,9,18,16,22,31,35,18,38,119,0,3,0,0,1,1,0,100,50,50,3,8,299,253,0,0,Sanjay Patil,Anjali Kumar,21-12-2025,16-10-2026
UP-LKO-2026-10003,P001,Highway,Tamil Nadu,Coonor,Hubbathala,250/B,B,Pooja Mishra,3.78 acres,Agricultural,Verified,15297.13,RURAL,26.8473,80.9492,55987495.8,3.11,0,174121111.9,348242223.9,4,8,17,19,57,19,48,33,97,57,88,4,2,1,4,2,1,1,0,0,0,0,2,367,555,188,1,Sanjay Yadav,Pooja Mishra,23-07-2025,25-07-2026
UP-LKO-2026-10004,P005,Railway,Uttar Pradesh,Lucknow,Malhaur,25-Mar,3,Ramesh Verma,1.59 acres,Residential,Verified,6434.51,URBAN,26.8475,80.9502,25313362.34,1.13,0,28604099.44,57208198.89,8,11,20,24,27,13,37,110,79,58,22,1,2,0,0,1,2,0,50,0,0,1,4,291,468,177,1,Kavita Joshi,Ramesh Verma,07-05-2025,22-02-2026
UP-LKO-2026-10005,P001,Railway,Tamil Nadu,Coonor,Hubbathala,105/A,A,Anjali Devi,4.98 acres,Residential,Active,20153.36,RURAL,26.8477,80.9512,34623472.48,2.5,0,86558681.2,173117362.4,3,8,6,29,43,21,48,51,98,49,52,5,1,2,1,1,1,0,0,0,50,2,4,256,414,158,1,Suresh Singh,Anjali Devi,13-11-2025,27-07-2026
UP-LKO-2026-10006,P008,Transmission,Uttar Pradesh,Lucknow,Malhaur,12/2A,2A,Rahul Singh,4.74 acres,Agricultural,Disputed,19182.12,URBAN,26.8479,80.9522,30288567.48,1.2,0,36346280.98,72692561.95,2,3,13,29,32,44,74,33,84,56,125,2,2,2,0,3,0,0,100,0,0,2,9,354,442,88,1,Kavita Verma,Rahul Singh,09-02-2025,29-01-2026
UP-LKO-2026-10007,P009,Highway,Uttar Pradesh,Kanpur,Bithoor,161/B,B,Pooja Devi,1.73 acres,Commercial,Verified,7001.07,URBAN,26.8481,80.9532,25973969.7,1.56,200000,40719392.73,81438785.46,5,6,6,15,28,41,40,39,72,29,98,5,2,2,4,1,2,0,0,0,0,3,1,352,384,32,1,Priya Iyer,Pooja Devi,20-06-2025,07-06-2026
UP-LKO-2026-10008,P003,Highway,Uttar Pradesh,Varanasi,Sarnath,65/2A,2A,Rahul Sharma,3.56 acres,Commercial,Pending Review,14406.82,RURAL,26.8483,80.9542,15127161,3.88,200000,58893384.68,117786769.4,7,9,6,12,27,18,83,58,88,29,103,1,3,0,4,2,0,1,50,0,0,3,6,325,495,170,1,Sanjay Reddy,Rahul Sharma,21-04-2025,12-03-2026
UP-LKO-2026-10009,P004,Railway,Uttar Pradesh,Varanasi,Sarnath,199/2A,2A,Rahul Devi,3.79 acres,Residential,Active,15337.6,RURAL,26.8485,80.9552,51871763.2,3.35,0,173770406.7,347540813.4,1,6,0,20,15,16,46,58,86,10,0,0,2,2,0,0,0,2,75,100,100,2,7,301,491,190,1,Deepa Deshmukh,Rahul Devi,23-05-2025,20-03-2026
UP-LKO-2026-10010,P009,Transmission,Tamil Nadu,Chennai,Kolathur,43/3,3,Neha Sharma,1.86 acres,Agricultural,Verified,7527.16,RURAL,26.8487,80.9562,25554708.2,2.6,0,66442241.32,132884482.6,5,9,3,12,35,19,65,67,91,50,49,1,2,2,1,1,1,0,0,0,0,3,8,270,414,144,1,Arvind Singh,Neha Sharma,20-07-2025,16-04-2026
UP-LKO-2026-10011,P005,Railway,Tamil Nadu,Coonor,Hubbathala,148/B,B,Anjali Sharma,2.32 acres,Residential,Disputed,9388.72,RURAL,26.8489,80.9572,22917865.52,3.71,50000,85075281.08,170150562.2,2,4,0,14,30,41,38,59,90,24,0,1,1,1,2,1,2,0,75,50,100,3,3,339,416,77,1,Meena Iyer,Anjali Sharma,04-12-2025,08-11-2026
UP-LKO-2026-10012,P007,Railway,Uttar Pradesh,Kanpur,Bithoor,152/1,1,Ramesh Devi,1.73 acres,Multi-crop,Verified,7001.07,URBAN,26.8491,80.9582,14828266.26,1.44,50000,21402703.41,42805406.83,4,5,2,20,21,10,72,102,84,25,139,4,3,1,1,0,2,0,75,100,0,1,2,256,424,168,1,Suresh Sharma,Ramesh Devi,17-12-2025,30-08-2026
UP-LKO-2026-10013,P002,Highway,Bihar,Muzaffarpur,PQR Village,108/2A,2A,Vikram Devi,3.2 acres,Multi-crop,Active,12949.95,RURAL,26.8493,80.9592,41776538.7,3.34,200000,139733639.3,279467278.5,4,9,2,11,28,43,42,34,57,38,133,2,2,2,4,1,0,1,75,0,0,0,6,226,403,177,1,Anil Joshi,Vikram Devi,09-01-2025,23-08-2025
UP-LKO-2026-10014,P004,Railway,Uttar Pradesh,Kanpur,Bithoor,170/2A,2A,Rahul Mishra,4.83 acres,Agricultural,Disputed,19546.33,URBAN,26.8495,80.9602,65343381.19,1.65,50000,107866579,215733157.9,10,12,15,11,20,43,69,60,47,49,116,5,2,0,1,2,0,1,75,0,0,0,6,391,479,88,1,Meena Verma,Rahul Mishra,03-06-2025,29-06-2026
UP-LKO-2026-10015,P002,Highway,Uttar Pradesh,Kanpur,Bithoor,234/2A,2A,Amit Verma,2.51 acres,Multi-crop,Pending Review,10157.62,URBAN,26.8497,80.9612,25505783.82,1.09,200000,28001304.36,56002608.73,10,11,16,18,23,22,88,116,81,22,92,3,0,1,0,0,0,0,100,50,50,1,7,343,370,27,1,Priya Yadav,Amit Verma,31-07-2025,09-07-2026
UP-LKO-2026-10016,P008,Highway,Bihar,Muzaffarpur,PQR Village,141/1,1,Vikram Verma,0.89 acres,Residential,Active,3601.71,RURAL,26.8499,80.9622,9573345.18,3.49,50000,33460974.68,66921949.36,9,9,10,23,59,29,46,109,27,22,21,5,3,1,1,1,2,0,0,0,100,1,1,334,435,101,1,Deepa Deshmukh,Vikram Verma,26-10-2025,25-09-2026
UP-LKO-2026-10017,P001,Highway,Maharashtra,Nagpur,Butibori,74/1,1,Neha Kumar,1.5 acres,Residential,Verified,6070.29,URBAN,26.8501,80.9632,11272528.53,1.82,0,20516001.92,41032003.85,5,7,6,28,53,39,81,47,45,38,79,0,2,0,0,0,2,2,0,0,0,3,7,270,661,391,1,Anil Iyer,Neha Kumar,18-04-2025,13-01-2026
UP-LKO-2026-10018,P003,Railway,Bihar,Patna,ABC Village,221/A,A,Vikram Gupta,2.48 acres,Agricultural,Verified,10036.21,RURAL,26.8503,80.9642,34233512.31,3.67,50000,125686990.2,251373980.4,5,8,3,22,56,36,42,78,39,36,110,4,3,1,0,2,2,0,0,0,0,0,1,362,459,97,1,Kavita Sharma,Vikram Gupta,26-09-2025,23-09-2026
UP-LKO-2026-10019,P008,Highway,Bihar,Patna,ABC Village,24/2A,2A,Manoj Verma,4.17 acres,Residential,Disputed,16875.41,RURAL,26.8505,80.9652,27810675.68,3.02,50000,84038240.55,168076481.1,3,7,7,24,56,10,41,118,62,44,24,0,0,1,4,0,1,0,0,0,0,1,3,354,400,46,1,Kavita Reddy,Manoj Verma,25-08-2025,14-08-2026
UP-LKO-2026-10020,P001,Railway,Tamil Nadu,Coonor,Hubbathala,241/A,A,Anjali Sharma,2.32 acres,Residential,Active,9388.72,RURAL,26.8507,80.9662,23115028.64,3.69,0,85294455.68,170588911.4,9,13,13,21,57,32,86,84,67,45,140,2,1,0,2,3,1,0,50,0,0,0,8,373,527,154,1,Arvind Iyer,Anjali Sharma,05-11-2025,13-11-2026
UP-LKO-2026-10021,P003,Railway,Uttar Pradesh,Lucknow,Malhaur,165/B,B,Anjali Singh,4.43 acres,Commercial,Active,17927.59,URBAN,26.8509,80.9672,32735779.34,1.65,50000,54064035.91,108128071.8,9,13,14,25,57,35,77,79,89,19,116,5,2,1,2,3,1,0,75,50,100,1,9,352,516,164,1,Rajesh Iyer,Anjali Singh,10-06-2025,28-05-2026
UP-LKO-2026-10022,P008,Highway,Maharashtra,Nashik,Ozar,237/B,B,Pooja Sharma,1.19 acres,Commercial,Verified,4815.76,RURAL,26.8511,80.9682,19089672.64,3.77,50000,72018065.85,144036131.7,8,11,19,30,40,24,47,99,46,48,41,5,2,1,0,1,1,2,100,100,50,1,0,309,649,340,1,Rajesh Verma,Pooja Sharma,01-01-2026,06-11-2026
UP-LKO-2026-10023,P001,Railway,Bihar,Muzaffarpur,PQR Village,234/1,1,Anjali Kumar,1.33 acres,Residential,Disputed,5382.32,RURAL,26.8513,80.9692,11388989.12,3.29,0,37469774.2,74939548.41,6,9,2,27,32,33,36,64,87,40,67,4,0,1,1,2,1,0,50,0,0,0,0,340,424,84,1,Sanjay Iyer,Anjali Kumar,24-02-2025,30-01-2026
UP-LKO-2026-10024,P002,Railway,Tamil Nadu,Chennai,Kolathur,108/B,B,Amit Yadav,3.09 acres,Residential,Active,12504.8,RURAL,26.8515,80.9702,17631768,3.73,50000,65816494.64,131632989.3,8,8,18,10,58,26,30,102,45,42,91,4,0,1,4,0,1,0,0,0,100,0,2,202,358,156,1,Sanjay Singh,Amit Yadav,30-09-2025,20-04-2026
UP-LKO-2026-10025,P003,Highway,Tamil Nadu,Coonor,Hubbathala,242/1,1,Priya Singh,3.1 acres,Multi-crop,Disputed,12545.27,RURAL,26.8517,80.9712,36117832.33,2.13,200000,77130982.86,154261965.7,5,7,10,27,40,22,82,62,42,30,60,4,0,0,0,2,2,1,0,0,0,1,9,383,575,192,1,Meena Reddy,Priya Singh,18-08-2025,05-09-2026
UP-LKO-2026-10026,P008,Transmission,Maharashtra,Nashik,Ozar,243/A,A,Vikram Yadav,0.58 acres,Multi-crop,Verified,2347.18,RURAL,26.8519,80.9722,6769267.12,2.22,50000,15077773.01,30155546.01,6,11,19,20,38,32,50,63,90,55,87,5,3,1,4,2,2,1,0,0,100,0,3,349,618,269,1,Meena Patil,Vikram Yadav,10-02-2025,25-01-2026
UP-LKO-2026-10027,P008,Transmission,Tamil Nadu,Coonor,Hubbathala,131/A,A,Vikram Kumar,1.04 acres,Commercial,Pending Review,4208.73,RURAL,26.8521,80.9732,11010037.68,2.33,50000,25703387.79,51406775.59,8,8,11,14,39,26,85,37,92,26,26,0,0,1,1,1,0,0,25,0,0,1,10,315,349,34,1,Meena Iyer,Vikram Kumar,13-02-2025,25-12-2025
UP-LKO-2026-10028,P009,Highway,Bihar,Muzaffarpur,PQR Village,245/1,1,Neha Singh,1.7 acres,Residential,Active,6879.66,RURAL,26.8523,80.9742,8062961.52,2.74,0,22092514.56,44185029.13,8,8,7,11,30,29,38,72,30,33,145,2,1,0,1,2,0,2,100,0,50,3,4,362,543,181,1,Ramesh Patil,Neha Singh,25-04-2025,22-04-2026
UP-LKO-2026-10029,P005,Railway,Maharashtra,Pune,Hinjewadi,178/3,3,Pooja Sharma,1.04 acres,Multi-crop,Active,4208.73,URBAN,26.8525,80.9752,5917474.38,1.12,50000,6677571.306,13355142.61,4,6,18,24,53,37,69,59,68,39,92,2,0,1,2,2,2,1,100,100,100,1,6,226,619,393,1,Priya Iyer,Pooja Sharma,02-07-2025,13-02-2026
UP-LKO-2026-10030,P006,Transmission,Bihar,Siwan,XYZ Village,80/3,3,Anjali Singh,4.48 acres,Agricultural,Disputed,18129.93,RURAL,26.8527,80.9762,24094676.97,2.33,0,56140597.34,112281194.7,3,6,20,13,36,27,81,72,38,22,101,1,0,2,3,0,0,0,75,0,50,0,4,270,289,19,1,Meena Verma,Anjali Singh,31-12-2025,27-09-2026
UP-LKO-2026-10031,P001,Railway,Maharashtra,Pune,Hinjewadi,165/1,1,Manoj Gupta,3.57 acres,Commercial,Pending Review,14447.29,URBAN,26.8529,80.9772,52429215.41,1.88,200000,98766924.97,197533849.9,2,4,14,21,55,31,67,86,91,46,144,1,2,1,3,0,0,0,0,0,0,0,5,343,397,54,1,Meena Das,Manoj Gupta,05-07-2025,13-06-2026
UP-LKO-2026-10032,P005,Railway,Tamil Nadu,Chennai,Kolathur,159/2A,2A,Manoj Mishra,1.36 acres,Residential,Verified,5503.73,RURAL,26.8531,80.9782,9136191.8,3.06,200000,28156746.91,56313493.82,9,14,3,19,18,27,76,82,81,56,50,5,0,0,3,1,2,2,50,0,50,3,7,392,719,327,1,Kavita Iyer,Manoj Mishra,27-05-2025,23-06-2026
UP-LKO-2026-10033,P004,Transmission,Tamil Nadu,Karaikudi,Kanadukathan,218/2A,2A,Rahul Mishra,0.99 acres,Residential,Active,4006.39,RURAL,26.8533,80.9792,7768390.21,3.48,200000,27233997.93,54467995.86,10,12,9,27,39,14,80,82,34,21,82,1,1,0,0,1,1,0,100,0,100,1,8,207,372,165,1,Sanjay Iyer,Rahul Mishra,13-03-2025,06-10-2025
UP-LKO-2026-10034,P006,Railway,Uttar Pradesh,Varanasi,Sarnath,37/3,3,Amit Devi,0.67 acres,Multi-crop,Disputed,2711.4,RURAL,26.8535,80.9802,5292652.8,3.31,200000,17718680.77,35437361.54,4,6,9,13,24,36,49,78,87,34,32,4,2,1,0,0,0,1,50,0,100,2,6,340,441,101,1,Deepa Singh,Amit Devi,05-10-2025,10-09-2026
UP-LKO-2026-10035,P004,Transmission,Bihar,Patna,ABC Village,183/B,B,Ramesh Sharma,3.56 acres,Agricultural,Disputed,14406.82,RURAL,26.8537,80.9812,24347525.8,3.07,50000,74796904.21,149593808.4,9,13,12,30,26,13,63,76,86,30,66,1,3,0,2,0,0,0,50,0,50,2,1,293,324,31,1,Deepa Joshi,Ramesh Sharma,26-01-2025,15-11-2025
UP-LKO-2026-10036,P003,Highway,Bihar,Siwan,XYZ Village,74/3,3,Priya Sharma,4.37 acres,Commercial,Verified,17684.78,RURAL,26.8539,80.9822,55388730.96,3.03,0,167827854.8,335655709.6,6,8,7,28,27,18,56,76,77,11,144,1,2,0,3,1,1,1,50,0,0,1,9,201,488,287,1,Arvind Das,Priya Sharma,30-12-2025,19-07-2026
UP-LKO-2026-10037,P001,Highway,Maharashtra,Pune,Hinjewadi,46/A,A,Neha Kumar,1.95 acres,Commercial,Disputed,7891.38,URBAN,26.8541,80.9832,28827211.14,1.63,50000,47038354.16,94076708.32,1,6,3,29,28,20,85,40,89,36,99,4,0,0,3,1,1,0,75,50,50,2,9,391,402,11,1,Kavita Joshi,Neha Kumar,17-10-2025,12-11-2026
UP-LKO-2026-10038,P007,Railway,Tamil Nadu,Chennai,Kolathur,97/1,1,Vikram Verma,4.8 acres,Commercial,Verified,19424.93,RURAL,26.8543,80.9842,23640139.81,3.56,200000,84358897.72,168717795.4,3,3,9,30,49,18,49,116,42,40,89,0,1,0,2,0,1,2,50,0,50,2,7,286,629,343,1,Priya Iyer,Vikram Verma,01-08-2025,14-05-2026
UP-LKO-2026-10039,P003,Highway,Tamil Nadu,Chennai,Kolathur,52/2A,2A,Priya Kumar,3.86 acres,Agricultural,Disputed,15620.88,RURAL,26.8545,80.9852,23493803.52,2.48,0,58264632.73,116529265.5,6,8,15,26,26,20,46,70,84,26,23,2,2,2,3,0,1,0,50,0,0,0,1,343,343,0,0,Meena Sharma,Priya Kumar,12-03-2025,18-02-2026
UP-LKO-2026-10040,P008,Highway,Uttar Pradesh,Kanpur,Bithoor,177/1,1,Manoj Devi,4.86 acres,Agricultural,Active,19667.74,URBAN,26.8547,80.9862,44154076.3,1.55,200000,68638818.27,137277636.5,4,4,18,25,28,33,33,51,33,13,131,4,3,1,0,1,1,0,25,0,50,0,2,213,291,78,1,Rajesh Deshmukh,Manoj Devi,06-06-2025,05-01-2026
UP-LKO-2026-10041,P003,Transmission,Tamil Nadu,Coonor,Hubbathala,145/1,1,Priya Yadav,2.57 acres,Agricultural,Verified,10400.43,RURAL,26.8549,80.9872,12730126.32,2.7,200000,34571341.06,69142682.13,4,8,3,14,57,12,52,82,37,20,120,0,0,1,2,2,2,2,75,50,50,0,0,304,664,360,1,Sanjay Deshmukh,Priya Yadav,13-05-2025,13-03-2026
UP-LKO-2026-10042,P008,Transmission,Tamil Nadu,Karaikudi,Kanadukathan,222/A,A,Manoj Devi,3.5 acres,Commercial,Disputed,14164.01,RURAL,26.8551,80.9882,23753044.77,3.97,50000,94349587.74,188699175.5,7,10,14,29,30,20,52,116,77,23,94,3,3,1,2,2,2,0,75,50,50,0,8,318,497,179,1,Deepa Singh,Manoj Devi,12-02-2025,27-12-2025
UP-LKO-2026-10043,P004,Transmission,Maharashtra,Nashik,Ozar,201/A,A,Vikram Gupta,2.7 acres,Commercial,Active,10926.52,RURAL,26.8553,80.9892,28911571.92,2.66,200000,77104781.31,154209562.6,5,5,11,26,28,38,30,55,88,17,39,1,3,0,2,3,0,0,50,0,100,0,5,308,372,64,1,Kavita Deshmukh,Vikram Gupta,26-05-2025,30-03-2026
UP-LKO-2026-10044,P004,Railway,Tamil Nadu,Chennai,Kolathur,156/1,1,Pooja Kumar,3.87 acres,Commercial,Pending Review,15661.35,RURAL,26.8555,80.9902,51980020.65,3.12,0,162177664.4,324355328.9,1,4,14,26,40,40,60,104,98,44,92,5,3,1,1,0,0,0,0,0,0,0,10,396,412,16,1,Rajesh Reddy,Pooja Kumar,15-07-2025,15-08-2026
UP-LKO-2026-10045,P008,Transmission,Uttar Pradesh,Varanasi,Sarnath,171/A,A,Neha Sharma,3.29 acres,Multi-crop,Active,13314.17,RURAL,26.8557,80.9912,13593767.57,3.14,0,42684430.17,85368860.34,4,8,16,13,41,24,90,59,62,46,89,4,2,2,3,0,1,1,0,0,50,0,1,238,500,262,1,Meena Iyer,Neha Sharma,06-10-2025,01-06-2026
UP-LKO-2026-10046,P009,Transmission,Uttar Pradesh,Kanpur,Bithoor,16-Jan,1,Manoj Verma,4.78 acres,Residential,Verified,19343.99,URBAN,26.8559,80.9922,40757786.93,1.1,200000,45033565.62,90067131.25,1,5,20,25,49,19,63,110,27,56,123,3,2,0,1,3,2,0,25,0,50,3,5,368,529,161,1,Suresh Patil,Manoj Verma,28-04-2025,01-05-2026
UP-LKO-2026-10047,P001,Transmission,Bihar,Patna,ABC Village,221/A,A,Pooja Verma,3.59 acres,Commercial,Verified,14528.23,RURAL,26.8561,80.9932,36640196.06,2.55,50000,93482499.95,186964999.9,2,7,11,21,18,45,88,104,92,13,96,2,1,2,4,0,0,1,75,50,0,2,2,321,501,180,1,Arvind Sharma,Pooja Verma,25-03-2025,09-02-2026
UP-LKO-2026-10048,P009,Railway,Maharashtra,Pune,Hinjewadi,204/1,1,Amit Verma,4.54 acres,Agricultural,Pending Review,18372.74,URBAN,26.8563,80.9942,38160180.98,1.79,200000,68506723.95,137013447.9,2,7,12,22,53,13,44,61,26,26,89,3,1,0,2,2,2,0,100,50,50,3,4,276,395,119,1,Anil Deshmukh,Amit Verma,26-03-2025,27-12-2025
